iter	Passed	Remaining
1617	94437	22296
1618	94498	22238
1619	94553	22179
1620	94616	22121
1621	94672	22063
1622	94729	22004
1623	94790	21946
1624	94849	21888
1625	94910	21830
1626	94964	21771
1627	95008	21709
1628	95071	21652
1629	95128	21593
1630	95189	21535
1631	95246	21477
1632	95308	21419
1633	95367	21361
1634	95430	21303
1635	95495	21247
1636	95555	21189
1637	95625	21133
1638	95687	21075
1639	95748	21017
1640	95818	20962
1641	95883	20905
1642	95945	20847
1643	96008	20790
1644	96071	20732
1645	96128	20674
1646	96187	20615
1647	96245	20557
1648	96301	20498
1649	96364	20441
1650	96420	20382
1651	96481	20324
1652	96538	20265
1653	96603	20208
1654	96664	20150
1655	96725	20092
1656	96786	20034
1657	96853	19978
1658	96913	19920
1659	96969	19861
1660	97029	19803
